doc_id;from;to;text;where;number;nouns;determiners;conjunctions;adjectives;prepositions;pronouns;verbs;adverbs;undefined;time
46;OBI-WAN;;Four more closing from your left.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;6;0;0;0;0;0;0;0;0;0;
47;ANAKIN;;I know. I know!;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;4;0;0;0;0;0;0;0;0;0;
48;OBI-WAN;;Break right and go high.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;5;0;0;0;0;0;0;0;0;0;
49;ANAKIN;;I'm going low and left.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;5;0;0;0;0;0;0;0;0;0;
50;OBI-WAN;;He still has much to learn.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;6;0;0;0;0;0;0;0;0;0;
51;ANAKIN;;Hang on, ARTOO. Obi-Wan, do you copy? I'm going to pull them through the needle...;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;15;0;0;0;0;0;0;0;0;0;
52;OBI-WAN;;"Too dangerous. First Jedi rule: ""Survive.""";8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;7;0;0;0;0;0;0;0;0;0;
53;ANAKIN;;Sorry, no choice. Come down here and thin them out a little.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;12;0;0;0;0;0;0;0;0;0;
54;OBI-WAN;;Just keep me steady... hold on... not yet... now break left.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;11;0;0;0;0;0;0;0;0;0;
55;OBI-WAN;; You'll never get through there, Anakin. It's too tight.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;9;0;0;0;0;0;0;0;0;0;
56;ANAKIN;;Easy, ARTOO... we've done this before.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;6;0;0;0;0;0;0;0;0;0;
57;OBI-WAN;;Use the Force, think yourself through, the ship will follow.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;10;0;0;0;0;0;0;0;0;0;
58;ANAKIN;;Wrong thought, ARTOO.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;3;0;0;0;0;0;0;0;0;0;
59;ANAKIN;; I'm through.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;2;0;0;0;0;0;0;0;0;0;
60;ODD BALL;;There are too many of them.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;6;0;0;0;0;0;0;0;0;0;
61;CLONE PILOT 2;;I'm on your wing. Break left. Break left. They're all over me. Get them off my...;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;16;0;0;0;0;0;0;0;0;0;
62;ANAKIN;;I'm going to go help them out!;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;7;0;0;0;0;0;0;0;0;0;
63;OBI-WAN;;No, no! They are doing their job so we can do ours. Head for the Command Ship!;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;17;0;0;0;0;0;0;0;0;0;
64;ANAKIN;;Missiles! Pull up!;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;3;0;0;0;0;0;0;0;0;0;
65;OBI-WAN;;They overshot us...;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;3;0;0;0;0;0;0;0;0;0;
66;ANAKIN;;They're coming around!;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;3;0;0;0;0;0;0;0;0;0;
67;OBI-WAN;;All right, Arfour. No, no. Nothing too fancy.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;8;0;0;0;0;0;0;0;0;0;
68;ANAKIN;;Surge all power units. ARTOO! Stand by the reverse thrusters.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;10;0;0;0;0;0;0;0;0;0;
69;ANAKIN;;We got 'em. ARTOO!;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;4;0;0;0;0;0;0;0;0;0;
70;OBI-WAN;;Flying is for droids.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;4;0;0;0;0;0;0;0;0;0;
71;OBI-WAN;; I'm hit! Anakin?;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;3;0;0;0;0;0;0;0;0;0;
72;ANAKIN;;I see them... Buzz Droids.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;5;0;0;0;0;0;0;0;0;0;
73;OBI-WAN;;Arfour, be careful. You have one...;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;6;0;0;0;0;0;0;0;0;0;
74;OBI-WAN;;Oh dear. They're shutting down all the controls.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;8;0;0;0;0;0;0;0;0;0;
75;ANAKIN;;Move to the right so I can get a clear shot at them.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;13;0;0;0;0;0;0;0;0;0;
76;OBI-WAN;;The mission. Get to the Command Ship. Get the Chancellor! I'm running out of tricks here.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;16;0;0;0;0;0;0;0;0;0;
77;OBI-WAN;; In the name of...;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;4;0;0;0;0;0;0;0;0;0;
78;ANAKIN;;Steady... steady...;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;2;0;0;0;0;0;0;0;0;0;
79;OBI-WAN;;Anakin, hold your fire... hold your fire. You're not helping here.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;11;0;0;0;0;0;0;0;0;0;
80;ANAKIN;;I agree, bad idea. Swing right... ease over... steady...;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;9;0;0;0;0;0;0;0;0;0;
81;OBI-WAN;;Wait... wait... I can't see a thing! My cockpit's fogging. They're all over me, Anakin.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;15;0;0;0;0;0;0;0;0;0;
82;ANAKIN;;Move to the right.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;4;0;0;0;0;0;0;0;0;0;
83;OBI-WAN;;Hold on, Anakin. You're going to get us both killed! Get out of here. There's nothing more you can do.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;20;0;0;0;0;0;0;0;0;0;
84;ANAKIN;;I'm not leaving without you, Master.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;6;0;0;0;0;0;0;0;0;0;
85;OBI-WAN;;Blast it... I can't see... my controls are gone.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;9;0;0;0;0;0;0;0;0;0;
86;ANAKIN;;Get 'em, ARTOO. Watch out!;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;5;0;0;0;0;0;0;0;0;0;
87;OBI-WAN;;ARTOO, hit the buzz droid's center eye.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;7;0;0;0;0;0;0;0;0;0;
88;ANAKIN;;Yeah, you got him!;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;4;0;0;0;0;0;0;0;0;0;
89;OBI-WAN;;Great, ARTOO.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;2;0;0;0;0;0;0;0;0;0;
90;ANAKIN;;Stay on my wing... the General's Command Ship is dead ahead. Easy... pull up... Head for the hangar.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;18;0;0;0;0;0;0;0;0;0;
91;OBI-WAN;;Have you noticed the shields are still up?;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;8;0;0;0;0;0;0;0;0;0;
92;ANAKIN;;Oh?!? Sorry, Master.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;3;0;0;0;0;0;0;0;0;0;
93;OBI-WAN;;Oh, I have a bad feeling about this.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;8;0;0;0;0;0;0;0;0;0;
94;OBI-WAN;;ARTOO, locate the Chancellor.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;4;0;0;0;0;0;0;0;0;0;
95;ANAKIN;;Tap into the ship's computers.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;5;0;0;0;0;0;0;0;0;0;
96;OBI-WAN;;The Chancellor's signal is coming from right there. The observation platform at the top of that spire.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;17;0;0;0;0;0;0;0;0;0;
97;ANAKIN;;I sense Count Dooku...;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;4;0;0;0;0;0;0;0;0;0;
98;OBI-WAN;;I sense a trap.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;4;0;0;0;0;0;0;0;0;0;
99;ANAKIN;;Next move?;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;2;0;0;0;0;0;0;0;0;0;
100;OBI-WAN;;Spring the trap.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;3;0;0;0;0;0;0;0;0;0;
101;ANAKIN;;ARTOO, go back. I need you to stay with the ship.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;11;0;0;0;0;0;0;0;0;0;
102;OBI-WAN;;Here, take this, and wait for orders.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;7;0;0;0;0;0;0;0;0;0;
103;GENERAL GRIEVOUS;;What's the situation, Captain?;10 INT. BRIDGE-TRADE FEDERATION CRUISER;4;0;0;0;0;0;0;0;0;0;
104;CAPTAIN;;TWO Jedi have landed in the main hangar bay.;10 INT. BRIDGE-TRADE FEDERATION CRUISER;9;0;0;0;0;0;0;0;0;0;
105;GENERAL GRIEVOUS;;Just as Count Dooku predicted.;10 INT. BRIDGE-TRADE FEDERATION CRUISER;5;0;0;0;0;0;0;0;0;0;
106;BODYGUARD I;;General Kenobi, Anakin Skywalker. We've been waiting for you.;11 INT. HANGAR-TRADE FEDERATION CRUISER;9;0;0;0;0;0;0;0;0;0;
107;OBI-WAN;;We are here to relieve you of Chancellor Palpatine, not join him.;11 INT. HANGAR-TRADE FEDERATION CRUISER;12;0;0;0;0;0;0;0;0;0;
108;OBI-WAN;;Anakin...;11 INT. HANGAR-TRADE FEDERATION CRUISER;1;0;0;0;0;0;0;0;0;0;
109;ANAKIN;;Ready.;11 INT. HANGAR-TRADE FEDERATION CRUISER;1;0;0;0;0;0;0;0;0;0;
110;OBI-WAN;;fuel. The slightest charge from our sabers will send this ship into oblivion. That's why they've stopped shooting.;12 INT. GENERATOR ROOM-TRADE FEDERATION CRUISER;19;0;0;0;0;0;0;0;0;0;
111;ANAKIN;;Well then, we're safe for the time being.;12 INT. GENERATOR ROOM-TRADE FEDERATION CRUISER;8;0;0;0;0;0;0;0;0;0;
112;OBI-WAN;;Your idea of safe is not the same as mine.;12 INT. GENERATOR ROOM-TRADE FEDERATION CRUISER;10;0;0;0;0;0;0;0;0;0;
113;ANAKIN;;They're sealing this section off.;12 INT. GENERATOR ROOM-TRADE FEDERATION CRUISER;5;0;0;0;0;0;0;0;0;0;
114;OBI-WAN;;Six droids coming our way!;12 INT. GENERATOR ROOM-TRADE FEDERATION CRUISER;5;0;0;0;0;0;0;0;0;0;
115;ANAKIN;;Keep moving. There must be vents... This way.;12 INT. GENERATOR ROOM-TRADE FEDERATION CRUISER;8;0;0;0;0;0;0;0;0;0;
116;OBI-WAN;;We'll never get through that. It's too small!;12 INT. GENERATOR ROOM-TRADE FEDERATION CRUISER;8;0;0;0;0;0;0;0;0;0;
117;ANAKIN;;I found our escape vent.;12 INT. GENERATOR ROOM-TRADE FEDERATION CRUISER;5;0;0;0;0;0;0;0;0;0;
118;OBI-WAN;;Anakin, this is no time for jokes. We're in serious trouble here.;12 INT. GENERATOR ROOM-TRADE FEDERATION CRUISER;12;0;0;0;0;0;0;0;0;0;
119;ANAKIN;;Only in your mind. My Master. Look, no structure...;12 INT. GENERATOR ROOM-TRADE FEDERATION CRUISER;9;0;0;0;0;0;0;0;0;0;
120;ANAKIN;;Here's a way out.;13 INT. VENT SHAFT-TRADE FEDERATION CRUISER;4;0;0;0;0;0;0;0;0;0;
121;OBI-WAN;;That won't hold when the fuel hits those power dischargers.;15 INT. HALLWAY-TRADE FEDERATION CRUISER;10;0;0;0;0;0;0;0;0;0;
122;ANAKIN;;The blast will break the hull. This side's pressurized.;15 INT. HALLWAY-TRADE FEDERATION CRUISER;9;0;0;0;0;0;0;0;0;0;
123;OBI-WAN;;You still have much to learn, Anakin.;15 INT. HALLWAY-TRADE FEDERATION CRUISER;7;0;0;0;0;0;0;0;0;0;
124;SUPER BATTLE DROID R77;;I have a bad feeling about this.;16 INT. VENT SHAFT-TRADE FEDERATION CRUISER;7;0;0;0;0;0;0;0;0;0;
125;OBI-WAN;;All right, you win. I have much to learn. Let's go!;19 INT. HALLWAY-TRADE FEDERATION CRUISER;11;0;0;0;0;0;0;0;0;0;
126;ANAKIN;;Destroyers!!;20 INT. WIDE HALLWAY-TRADE FEDERATION CRUISER;1;0;0;0;0;0;0;0;0;0;
127;BATTLE DROID;;Drop your weapons! I said drop 'em.;20 INT. WIDE HALLWAY-TRADE FEDERATION CRUISER;7;0;0;0;0;0;0;0;0;0;
128;OBI-WAN;;Did you press the stop button?;22 INT. ELEVATOR-TRADE FEDERATION CRUISER;6;0;0;0;0;0;0;0;0;0;
129;ANAKIN;;No, did you?;22 INT. ELEVATOR-TRADE FEDERATION CRUISER;3;0;0;0;0;0;0;0;0;0;
130;OBI-WAN;;No!;22 INT. ELEVATOR-TRADE FEDERATION CRUISER;1;0;0;0;0;0;0;0;0;0;
131;ANAKIN;;Well, there's more than one way out of here.;22 INT. ELEVATOR-TRADE FEDERATION CRUISER;9;0;0;0;0;0;0;0;0;0;
132;OBI-WAN;;We don't want to get out, we want to get moving. ARTOO... ARTOO. Do you copy? Activate elevator... 31174...;22 INT. ELEVATOR-TRADE FEDERATION CRUISER;19;0;0;0;0;0;0;0;0;0;
133;SUPER BATTLE DROID 1;;What's that?;23 INT MAIN HANGAR-TRADE FEDERATION CRUISER;2;0;0;0;0;0;0;0;0;0;
134;SUPER BATTLE DROID 2;;Get back to work. It's nothing.;23 INT MAIN HANGAR-TRADE FEDERATION CRUISER;6;0;0;0;0;0;0;0;0;0;
135;OBI-WAN;;ARTOO?;24 INT. ELEVATOR-TRADE FEDERATION CRUISER;1;0;0;0;0;0;0;0;0;0;
136;OBI-WAN;; Always on the move.;24 INT. ELEVATOR-TRADE FEDERATION CRUISER;4;0;0;0;0;0;0;0;0;0;
137;OBI-WAN;; ARTOO, switch on the comlink. ARTOO, do you hear me? ARTOO, we gave you a job to do! ARTOO.;24 INT. ELEVATOR-TRADE FEDERATION CRUISER;19;0;0;0;0;0;0;0;0;0;
138;OBI-WAN;;Stop, stop! ARTOO, we need to be going up.;27 INT. ELEVATOR-TRADE FEDERATION CRUISER;9;0;0;0;0;0;0;0;0;0;
139;DROID 1;;Hands up, Jedi! Don't move.;28 INT. ELEVATOR SHAFT-TRADE FEDERATION CRUISER;5;0;0;0;0;0;0;0;0;0;
140;DROID 2;; Roger, roger.;28 INT. ELEVATOR SHAFT-TRADE FEDERATION CRUISER;2;0;0;0;0;0;0;0;0;0;
141;SUPER BATTLE DROID 1;;There it is again.;28 INT. ELEVATOR SHAFT-TRADE FEDERATION CRUISER;4;0;0;0;0;0;0;0;0;0;
142;OBI-WAN;; ARTOO, do you copy? ARTOO, do you hear me? ARTOO, we need to be going up, not down.;28 INT. ELEVATOR SHAFT-TRADE FEDERATION CRUISER;18;0;0;0;0;0;0;0;0;0;
143;OBI-WAN;;Stop. ARTOO! We need to go up! Stop, stop!;30 INT. ELEVATOR-TRADE FEDERATION CRUISER;9;0;0;0;0;0;0;0;0;0;
144;SUPER BATTLE DROID 1;;Hey you!;31 INT. MAIN HANGAR-TRADE FEDERATION CRUISER;2;0;0;0;0;0;0;0;0;0;
145;OBI-WAN;;Now, that's better...;32 INT. ELEVATOR-TRADE FEDERATION CRUISER;3;0;0;0;0;0;0;0;0;0;
146;SUPER BATTLE DROID 1;;You stupid little astro droid!;32 INT. ELEVATOR-TRADE FEDERATION CRUISER;5;0;0;0;0;0;0;0;0;0;
147;OBI-WAN;;Oh, it's you...;34 INT. ELEVATOR SHAFT-TRADE FEDERATION CRUISER;3;0;0;0;0;0;0;0;0;0;
148;ANAKIN;;What was that all about?;36 INT. ELEVATOR SHAFT-TRADE FEDERATION CRUISER;5;0;0;0;0;0;0;0;0;0;
149;OBI-WAN;;Well, ARTOO has been...;36 INT. ELEVATOR SHAFT-TRADE FEDERATION CRUISER;4;0;0;0;0;0;0;0;0;0;
150;ANAKIN;;No loose wire jokes... He's doing the best he can.;36 INT. ELEVATOR SHAFT-TRADE FEDERATION CRUISER;10;0;0;0;0;0;0;0;0;0;
151;OBI-WAN;;Did I say anything?;36 INT. ELEVATOR SHAFT-TRADE FEDERATION CRUISER;4;0;0;0;0;0;0;0;0;0;
152;ANAKIN;;He's trying!;36 INT. ELEVATOR SHAFT-TRADE FEDERATION CRUISER;2;0;0;0;0;0;0;0;0;0;
153;OBI-WAN;;I didn't say anything!;36 INT. ELEVATOR SHAFT-TRADE FEDERATION CRUISER;4;0;0;0;0;0;0;0;0;0;
154;OBI-WAN;;Chancellor.;38 INT. GENERAL'S QUARTER'S-TRADE FEDERATION CRUISER;1;0;0;0;0;0;0;0;0;0;
155;ANAKIN;;Are you all right?;38 INT. GENERAL'S QUARTER'S-TRADE FEDERATION CRUISER;4;0;0;0;0;0;0;0;0;0;
156;PALPATINE;;Count Dooku.;38 INT. GENERAL'S QUARTER'S-TRADE FEDERATION CRUISER;2;0;0;0;0;0;0;0;0;0;
157;OBI-WAN;;This time we will do it together.;38 INT. GENERAL'S QUARTER'S-TRADE FEDERATION CRUISER;7;0;0;0;0;0;0;0;0;0;
158;ANAKIN;;I was about to say that.;38 INT. GENERAL'S QUARTER'S-TRADE FEDERATION CRUISER;6;0;0;0;0;0;0;0;0;0;
159;PALPATINE;;Get help! You're no match for him. He's a Sith Lord.;38 INT. GENERAL'S QUARTER'S-TRADE FEDERATION CRUISER;11;0;0;0;0;0;0;0;0;0;
160;OBI-WAN;;Chancellor Palpatine, Sith Lords are our specialty.;38 INT. GENERAL'S QUARTER'S-TRADE FEDERATION CRUISER;7;0;0;0;0;0;0;0;0;0;
161;COUNT DOOKU;;Your swords, please, Master Jedi. We don't want to make a mess of things in front of the Chancellor.;38 INT. GENERAL'S QUARTER'S-TRADE FEDERATION CRUISER;19;0;0;0;0;0;0;0;0;0;
162;OBI-WAN;;You won't get away this time, Dooku.;38 INT. GENERAL'S QUARTER'S-TRADE FEDERATION CRUISER;7;0;0;0;0;0;0;0;0;0;
163;COUNT DOOKU;;I've been looking forward to this.;38 INT. GENERAL'S QUARTER'S-TRADE FEDERATION CRUISER;6;0;0;0;0;0;0;0;0;0;
164;ANAKIN;;My powers have doubled since the last time we met, Count.;38 INT. GENERAL'S QUARTER'S-TRADE FEDERATION CRUISER;11;0;0;0;0;0;0;0;0;0;
165;COUNT DOOKU;;Good. Twice the pride, double the fall.;38 INT. GENERAL'S QUARTER'S-TRADE FEDERATION CRUISER;7;0;0;0;0;0;0;0;0;0;
166;COUNT DOOKU;; Your moves are clumsy, Kenobi... too predictable. You'll have to do better.;38 INT. GENERAL'S QUARTER'S-TRADE FEDERATION CRUISER;12;0;0;0;0;0;0;0;0;0;
167;COUNT DOOKU;; I sense great fear in you, Skywalker. You have hate, you have anger, but you don’t use them.;38 INT. GENERAL'S QUARTER'S-TRADE FEDERATION CRUISER;18;0;0;0;0;0;0;0;0;0;
168;PALPATINE;;Good, Anakin, good. I knew you could do it. Kill him. Kill him now!;39 INT. GENERAL'S QUARTERS-TRADE FEDERATION CRUISER;14;0;0;0;0;0;0;0;0;0;
169;ANAKIN;;I shouldn't...;39 INT. GENERAL'S QUARTERS-TRADE FEDERATION CRUISER;2;0;0;0;0;0;0;0;0;0;
170;PALPATINE;;Do it!!;39 INT. GENERAL'S QUARTERS-TRADE FEDERATION CRUISER;2;0;0;0;0;0;0;0;0;0;
171;ANAKIN;;... I couldn't stop myself.;39 INT. GENERAL'S QUARTERS-TRADE FEDERATION CRUISER;4;0;0;0;0;0;0;0;0;0;
172;PALPATINE;;You did well, Anakin. He was too dangerous to be kept alive.;39 INT. GENERAL'S QUARTERS-TRADE FEDERATION CRUISER;12;0;0;0;0;0;0;0;0;0;
173;ANAKIN;;Yes, but he was an unarmed prisoner.;39 INT. GENERAL'S QUARTERS-TRADE FEDERATION CRUISER;7;0;0;0;0;0;0;0;0;0;
