"doc_id","from","text"
"77","LUKE","uncle owen"
"78","OWEN","yeah"
"79","LUKE",""
"80","OWEN","blue"
"81","LUKE","yeah"
"82","THREEPIO","uh pleased sir first-class condition worked"
"83","LUKE",""
"84","THREEPIO","forget stick neck capacity"
"85","THREEPIO","maker oil bath feel good bad case dust contamination barely move"
"86","LUKE","fair biggs gonna"
"87","THREEPIO",""
"88","LUKE","alter time speed harvest teleport rock"
"89","THREEPIO","sir droid knowledgeable things planet matter fact planet"
"90","LUKE","bright center universe planet farthest"
"91","THREEPIO","sir"
"92","LUKE","uh call luke"
"93","THREEPIO","sir luke"
"94","LUKE","luke"
"95","THREEPIO","see-threepio human-cyborg relations counterpart artoo"
"96","LUKE",""
"97","LUKE","lot carbon scoring boys lot action"
"98","THREEPIO","amazed good condition rebellion"
"99","LUKE","rebellion empire"
"100","THREEPIO","service meaning sir"
"101","LUKE","battles"
"102","THREEPIO","interpreter good telling stories making interesting"
"103","LUKE","friend jammed real good cruiser"
"104","LEIA","obi-wan kenobi hope"
"105","LUKE",""
"106","THREEPIO","asked question"
"107","LEIA","obi-wan kenobi hope obi-wan kenobi hope"
"108","THREEPIO","sir malfunction data pay mind"
"109","LUKE","beautiful"
"110","THREEPIO","afraid sir"
"111","LEIA","obi-wan kenobi"
"112","THREEPIO","passenger voyage person importance sir captain attached"
"113","LUKE","recording"
"114","THREEPIO","behave artoo trouble trust master"
"115","THREEPIO","property obi-wan kenobi resident parts private message frankly sir talking master captain antilles r2 unit bit eccentric"
"116","LUKE","obi-wan kenobi means ben kenobi"
"117","THREEPIO","beg pardon sir talking"
"118","LUKE","named obi wan ben lives dune sea kind strange hermit"
"119","LUKE","sounds trouble play back thing"
"120","THREEPIO","restraining bolt short circuited recording system suggests remove bolt play back entire recording"
"121","LUKE","h'm yeah guess small run"
"122","LUKE",""
"123","LUKE","wait minute where'd bring back play back entire message"
"124","THREEPIO","message carrying inside rusty innards"
"125","BERU","luke luke dinner"
"126","LUKE","aunt beru"
"127","THREEPIO","sir appears picked slight flutter"
"128","LUKE","back"
"129","THREEPIO","reconsider playing message"
"130","THREEPIO","likes"
"131","THREEPIO",""
"132","LUKE","r2 unit bought stolen"
"133","OWEN","makes"
"134","LUKE","stumbled recording cleaning belongs called obi-wan kenobi"
"135","LUKE","thought meant ben talking related ben"
"136","OWEN","man's crazy wizard tomorrow r2 unit anchorhead memory flushed that'll end belongs"
"137","LUKE","obi-wan"
"138","OWEN","exists died time father"
"139","LUKE","knew father"
"140","OWEN","told forget concern prepare droids tomorrow morning south ridge working condensers"
"141","LUKE","sir droids work fine fact uh thinking agreement staying season droids work transmit application academy year"
"142","OWEN","semester harvest"
"143","LUKE","there're droids"
"144","OWEN","harvest season year make harvest hire hands academy year"
"145","OWEN","understand luke"
"146","LUKE","nother year"
"147","OWEN","season"
"148","LUKE","yeah year biggs tank left"
"149","BERU",""
"150","LUKE","finish cleaning droids"
"151","BERU","owen stay forever friends means"
"152","OWEN","make year promise"
"153","BERU","luke's farmer owen father"
"154","OWEN","afraid"
"155","LUKE","hiding"
"156","THREEPIO","fault sir deactivate told faulty malfunctioning"
"157","LUKE",""
"158","THREEPIO","r2 unit problem astro-droids hand understand logic times"
"159","LUKE","stupid sight blast"
"160","THREEPIO","pardon sir"
"161","LUKE","dangerous sand people wait morning"
"162","OWEN","luke shutting power night"
"163","LUKE","minutes boy gonna"
"164","LUKE","droid lot trouble"
"165","THREEPIO","excels sir"
"166","OWEN","luke luke luke loafing"
"167","OWEN","luke morning"
"168","BERU","things started today left early"
"169","OWEN","uh droids"
"170","BERU",""
"171","OWEN","units south range repaired midday there'll hell pay"
"172","LUKE",""
"173","LUKE","ben kenobi lives direction r2 unit missed uncle owen"
"174","THREEPIO","sir told fault"
"175","LUKE","deactivate day"
"176","THREEPIO","deactivate hand removed restraining bolt"
"177","LUKE","wait dead ahead scanner droid hit accelerator"
"178","LUKE","hey whoa"
"179","THREEPIO","master luke rightful owner obi-wan kenobi jibberish talk mission fortunate blast million pieces"
"180","LUKE","late hope back uncle owen blows"
"181","THREEPIO","mind sir deactivate fugitive back workshop"
"182","LUKE",""
"183","LUKE","wrong"
"184","THREEPIO","sir creatures approaching southeast"
"185","LUKE","sand people worst"
"186","LUKE","banthas wait sand people"
"187","OBI WAN","friend afraid"
"188","OBI WAN","worry"
"189","LUKE","happened"
"190","OBI WAN","rest easy son busy day fortunate piece"
"191","LUKE","ben ben kenobi boy glad"
"192","OBI WAN","jundland wastes traveled lightly young luke brings"
"193","LUKE","droid searching master devotion droid stopping claims property obi-wan kenobi relative talking"
"194","OBI WAN","obi-wan kenobi obi-wan heard long time long time"
"195","LUKE","uncle knew dead"
"196","OBI WAN","dead"
"197","LUKE",""
"198","OBI WAN","obi-wan born"
"199","LUKE","droid belong"
"200","OBI WAN","remember owning droid interesting"
"201","OBI WAN","indoors sand people easily startled back greater numbers"
"202","LUKE","threepio"
"203","THREEPIO","bad step"
"204","LUKE","stand sand people return"
"205","THREEPIO","make master luke sense risking account"
"206","LUKE","kind talk"
"207","OBI WAN","quickly son move"
"208","LUKE","father fight wars navigator spice freighter"
"209","OBI WAN","uncle told hold father's ideals thought stayed involved"
"210","LUKE","fought clone wars"
"211","OBI WAN","jedi knight father"
"212","LUKE",""
"213","OBI WAN","star-pilot galaxy cunning warrior understand good pilot good friend reminds"
"214","OBI WAN","father wanted uncle feared follow obi-wan damned-fool idealistic crusade father"
"215","THREEPIO","sir needing close awhile"
"216","LUKE","ahead"
"217","LUKE",""
"218","OBI WAN","fathers lightsaber weapon jedi knight clumsy random blaster"
"219","OBI WAN","elegant weapon civilized time thousand generations jedi knights guardians peace justice republic dark times empire"
"220","LUKE","father die"
"221","OBI WAN","young jedi named darth vader pupil mine turned evil helped empire hunt destroy jedi knights betrayed murdered father jedi extinct vader seduced dark side force"
"222","LUKE","force"
"223","OBI WAN","force jedi power energy field created living things surrounds penetrates binds galaxy"
"224","OBI WAN","figure friend"
"225","LUKE","part message"
"226","OBI WAN","found"
"227","LEIA","general kenobi years ago served father clone wars begs struggle empire regret unable present father's request person ship fallen attack afraid mission bring alderaan failed information vital survival rebellion memory systems r2 unit father retrieve droid safely delivered alderaan desperate hour obi-wan kenobi hope"
"228","OBI WAN","learn ways force alderaan"
"229","LUKE","alderaan alderaan home late"
"230","OBI WAN","luke sort thing"
"231","LUKE","involved work empire hate long"
"232","OBI WAN","uncle talking"
"233","LUKE","god uncle explain"
"234","OBI WAN","learn force luke"
"235","LUKE","anchorhead transport mos eisley"
"236","OBI WAN","feel"
"237","TAGGE","battle station fully operational vulnerable rebel alliance equipped dangerous realize"
"238","MOTTI","dangerous starfleet commander battle station"
"239","TAGGE","rebellion continue gain support imperial senate long"
"240","TARKIN","imperial senate longer concern received word emperor dissolved council permanently remnants republic swept"
"241","TAGGE","impossible emperor maintain control bureaucracy"
"242","TARKIN","regional governors direct control territories fear local systems line fear battle station"
"243","TAGGE","rebellion rebels obtained complete technical readout station find weakness exploit"
"244","DARTH VADER","plans refer back hands"
"245","MOTTI","attack made rebels station useless gesture matter technical data obtained station ultimate power universe suggest"
"246","DARTH VADER","proud technological terror constructed ability destroy planet insignificant power force"
"247","MOTTI","frighten sorcerer's ways lord vader sad devotion ancient religion helped conjure stolen data tapes clairvoyance find rebel's hidden fort"
"248","DARTH VADER","find lack faith disturbing"
"249","TARKIN","vader release"
"250","DARTH VADER",""
"251","TARKIN","bickering pointless lord vader provide location rebel fortress time station operational crush rebellion swift stroke"
"252","LUKE","sand people gaffi sticks bantha tracks heard hitting big"
"253","OBI WAN","meant tracks side side sand people ride single file hide numbers"
"254","LUKE","jawas sold artoo threepio"
"255","OBI WAN","blast points accurate sand people imperial stormtroopers precise"
"256","LUKE","imperial troops slaughter jawas"
"257","LUKE","traced robots learned sold lead home"
"258","OBI WAN","wait luke dangerous"
"259","LUKE","uncle owen aunt beru uncle owen"
"260","DARTH VADER","highness discuss location hidden rebel base"
"261","OBI WAN","luke killed droids hands empire"
"262","LUKE","alderaan learn ways force jedi father"
"263","OBI WAN","mos eisley spaceport find wretched hive scum villainy cautious"
"264","TROOPER","long droids"
"265","LUKE","seasons"
"266","OBI WAN","sale"
"267","TROOPER","identification"
"268","OBI WAN","identification"
"269","TROOPER","identification"
"270","OBI WAN","droids"
"271","TROOPER","droids"
"272","OBI WAN","business"
"273","TROOPER","business"
"274","OBI WAN","move"
"275","TROOPER","move move"
"276","THREEPIO","abide jawas disgusting creatures"
"277","LUKE","understand troopers thought dead"
"278","OBI WAN","force strong influence weak-minded find powerful ally"
"279","LUKE","find pilot that'll alderaan"
"280","OBI WAN","freighter pilots found watch step place rough"
"281","LUKE","ready"
"282","THREEPIO","artoo"
"283","BARTENDER","serve kind"
"284","LUKE",""
"285","BARTENDER","droids wait"
"286","LUKE","listen wait speeder trouble"
"287","THREEPIO","heartily agree sir"
"288","CREATURE","negola dewaghi wooldugger"
"289","HUMAN",""
"290","LUKE",""
"291","HUMAN",""
"292","HUMAN","insult watch wanted men death sentence twelve systems"
"293","LUKE","careful"
"294","HUMAN","dead"
"295","OBI WAN","worth effort buy"
"296","BARTENDER","blasters blaster"
"297","OBI WAN","chewbacca first-mate ship suit"
"298","THREEPIO",""
"299","HAN SOLO","han solo captain millennium falcon chewie tells passage alderaan system"
"300","OBI WAN","fast ship"
"301","HAN SOLO","fast ship heard millennium falcon"
"302","OBI WAN",""
"303","HAN SOLO","ship made kessel run twelve parsecs"
"304","HAN SOLO","outrun imperial starships local bulk-cruisers mind talking big corellian ships fast man cargo"
"305","OBI WAN","passengers boy droids questions asked"
"306","HAN SOLO","kind local trouble"
"307","OBI WAN","avoid imperial entanglements"
"308","HAN SOLO","trick cost extra ten thousand advance"
"309","LUKE","ten thousand buy ship"
"310","HAN SOLO","fly kid"
"311","LUKE","bet bad pilot sit listen"
"312","OBI WAN","pay thousand fifteen reach alderaan"
"313","HAN SOLO","seventeen huh"
"314","HAN SOLO","guys ship leave ready docking bay ninety-four"
"315","OBI WAN","ninety-four"
"316","HAN SOLO","somebody's beginning interest handiwork"
"317","TROOPER","check"
"318","HAN SOLO","seventeen thousand guys desperate save neck back ship ready"
"319","OBI WAN","sell speeder"
"320","LUKE","coming back planet"
"321","GREEDO","solo"
"322","HAN SOLO","greedo matter fact boss jabba money"
"323","GREEDO","late paid chance jabba's put price head large bounty hunter galaxy lucky found"
"324","HAN SOLO","yeah time money"
"325","GREEDO","give forget found"
"326","HAN SOLO","jabba"
"327","GREEDO","jabba's time smugglers drop shipments sign imperial cruiser"
"328","HAN SOLO","boarded choice"
"329","GREEDO","jabba ship"
"330","HAN SOLO","dead body"
"331","GREEDO","idea forward killing long time"
"332","HAN SOLO","bet"
"333","HAN SOLO","mess"
"334","DARTH VADER","resistance mind probe considerable time extract information"
"335","IMPERIAL OFFICER","final check-out complete systems operational set"
"336","TARKIN","respond alternative form persuasion"
"337","DARTH VADER",""
"338","TARKIN","time demonstrate full power station set princess leia's home planet alderaan"
"339","TROOPER","pleasure"
"340","THREEPIO","lock door artoo"
"341","TROOPER","check side street secure move door"
"342","THREEPIO","master luke stay trouble fault"
"343","THREEPIO","watch language"
"344","LUKE","xp-38 demand"
"345","OBI WAN",""
"346","OBI WAN","ship's fast boasting"
"347","JABBA","solo"
"348","HAN SOLO","waiting jabba"
"349","JABBA","expected"
"350","HAN SOLO","type run"
"351","JABBA","han boy times disappoint paid fry poor greedo"
"352","HAN SOLO","greedo blast"
"353","JABBA","han smuggler business valuable fry relaying concern delays blast"
"354","HAN SOLO","thought time send twerps"
"355","JABBA","han han dump shipment spice understand make exception pilot smuggled dumped shipment sign imperial starship good business"
"356","HAN SOLO","boarded jabba choice charter pay back extra time"
"357","JABBA","put blasters han boy extra twenty percent give time disappoint put price head large civilized system rest short life"
"358","HAN SOLO","jabba pay pleasure"
"359","LUKE","piece junk"
"360","HAN SOLO","make point speed light counts kid added special modifications"
"361","HAN SOLO","rushed hurry aboard"
"362","THREEPIO","sir"
"363","TROOPER",""
"364","TROOPER","men load weapons"
"365","TROOPER","stop ship"
"366","TROOPER","blast em"
"367","HAN SOLO","chewie"
"368","THREEPIO","forgotten hate space travel"
"369","HAN SOLO","imperial cruiser passengers hotter thought hold angle deflector shield make calculations jump light speed"
"370","HAN SOLO","stay sharp coming"
"371","LUKE","outrun thought thing fast"
"372","HAN SOLO","watch mouth kid find floating home safe make jump hyperspace maneuvers lose"
"373","HAN SOLO","fun begins"
"374","OBI WAN","long make jump light speed"
"375","HAN SOLO","moments coordinates navi-computer"
"376","LUKE","kidding rate gaining"
"377","HAN SOLO","traveling hyperspace dusting crops boy precise calculations fly star bounce close supernova that'd end trip real quick"
"378","LUKE","flashing"
"379","HAN SOLO","losing deflector shield strap make jump light speed"
"380","MOTTI","entered alderaan system"
"381","LEIA","governor tarkin expected find holding vader's leash recognized foul stench brought board"
"382","TARKIN","charming hard found signing order terminate life"
"383","LEIA","surprised courage responsibility"
"384","TARKIN","princess leia execution guest ceremony make battle station operational star system dare oppose emperor"
"385","LEIA","tighten grip tarkin star systems slip fingers"
"386","TARKIN","demonstrate power station determined choice planet that'll destroyed reluctant provide location rebel base chosen test station's destructive power home planet alderaan"
"387","LEIA","alderaan peaceful weapons possibly"
"388","TARKIN","prefer target military target system"
"389","TARKIN","grow tired time rebel base"
"390","LEIA","dantooine"
"391","LEIA","dantooine"
"392","TARKIN","lord vader reasonable continue operation fire ready"
"393","LEIA",""
"394","TARKIN","trusting dantooine remote make effective demonstration worry deal rebel friends"
"395","LEIA",""
"396","DARTH VADER","commence primary ignition"
"397","LUKE","wrong"
"398","OBI WAN","felt great disturbance force millions voices suddenly cried terror suddenly silenced fear terrible happened"
"399","OBI WAN","exercises"
"400","HAN SOLO","forget troubles imperial slugs told outrun em"
"401","HAN SOLO",""
"402","HAN SOLO","alderaan oh-two-hundred hours"
"403","THREEPIO","careful artoo"
"404","THREEPIO","made fair move screaming"
"405","HAN SOLO","wise upset wookiee"
"406","THREEPIO","sir worries upsetting droid"
"407","HAN SOLO","droids pull people's arms socket lose wookiees"
"408","THREEPIO","point sir suggest strategy artoo wookiee win"
"409","OBI WAN","remember jedi feel force flowing"
"410","LUKE","controls actions"
"411","OBI WAN","partially obeys commands"
"412","HAN SOLO","hokey religions ancient weapons match good blaster side kid"
"413","LUKE","force"
"414","HAN SOLO","kid flown side galaxy lot strange stuff make all-powerful force controlling mystical energy field controls destiny"
"415","HAN SOLO","lot simple tricks nonsense"
"416","OBI WAN","suggest luke"
"417","OBI WAN","time conscious act instinct"
"418","LUKE","blast shield supposed fight"
"419","OBI WAN","eyes deceive trust"
"420","OBI WAN","stretch feelings"
"421","OBI WAN",""
"422","HAN SOLO","call luck"
"423","OBI WAN","experience thing luck"
"424","HAN SOLO","good remotes thing good living"
"425","HAN SOLO","coming alderaan"
"426","LUKE","feel remote"
"427","OBI WAN","good step larger world"
"428","TARKIN",""
"429","OFFICER CASS","scout ships reached dantooine found remains rebel base estimate deserted time conducting extensive search surrounding systems"
"430","TARKIN","lied lied"
"431","DARTH VADER","told consciously betray rebellion"
"432","TARKIN","terminate immediately"
"433","HAN SOLO","stand chewie cut sublight engines"
"434","HAN SOLO","aw hyperspace meteor shower kind asteroid collision charts"
"435","LUKE",""
"436","HAN SOLO","position correct alderaan"
"437","LUKE",""
"438","HAN SOLO","kid totally blown"
"439","LUKE",""
"440","OBI WAN","destroyed empire"
"441","HAN SOLO","entire starfleet destroy planet thousand ships fire power"
"442","HAN SOLO","ship coming"
"443","LUKE","happened"
"444","OBI WAN","imperial fighter"
"445","LUKE",""
"446","OBI WAN","short range fighter"
"447","HAN SOLO","bases"
"448","LUKE","leaving big hurry identify big trouble"
"449","HAN SOLO","chewiejam transmissions"
"450","OBI WAN","range"
"451","HAN SOLO","long"
"452","OBI WAN","fighter size deep space"
"453","LUKE","lost part convoy"
"454","HAN SOLO","long"
"455","LUKE","headed small moon"
"456","HAN SOLO","range"
"457","OBI WAN","moon space station"
"458","HAN SOLO","big space station"
"459","LUKE","bad feeling"
"460","HAN SOLO","yeah full reverse chewie lock auxiliary power"
"461","LUKE","moving"
"462","HAN SOLO","caught tractor beam pulling"
"463","LUKE","gotta"
"464","HAN SOLO","nothin kid full power shut fight"
"465","OBI WAN","win alternatives fighting"
"466","DEATH STAR INTERCOM","clear bay twenty-three-seven opening magnetic field"
"467","IMPERIAL OFFICER","stations"
"468","IMPERIAL OFFICER","close outboard shields close outboard shields"
"469","TARKIN",""
"470","DEATH STAR INTERCOM","captured freighter entering remains alderaan system markings match ship blasted mos eisley"
"471","DARTH VADER","return stolen plans princess"
"472","DEATH STAR INTERCOM","unlock one-five-seven release charges"
"473","IMPERIAL OFFICER","board sir log crew abandoned ship takeoff decoy sir escape pods jettisoned"
"474","DARTH VADER","find droids"
"475","IMPERIAL OFFICER","sir board jettisoned"
"476","DARTH VADER","send scanning crew board part ship checked"
"477","IMPERIAL OFFICER","sir"
"478","DARTH VADER","sense presence felt"
"479","IMPERIAL OFFICER","scanning crew double part ship checked"
"480","LUKE","boy lucky compartments"
"481","HAN SOLO","smuggling thought smuggling ridiculous past tractor beam"
"482","OBI WAN","leave"
"483","HAN SOLO","damn fool knew"
"484","OBI WAN","foolish fool fool"
"485","TROOPER","ship's scanners pick report immediately"
"486","HAN SOLO","hey give hand"
"487","IMPERIAL OFFICER","tk-four-one-two post tk-four-one-two copy"
"488","IMPERIAL OFFICER","bad transmitter"
"489","LUKE","howling blasting sight station"
"490","HAN SOLO","bring prefer straight fight sneaking"
"491","THREEPIO","found computer outlet sir"
"492","OBI WAN","plug interpret entire imperial computer network"
"493","THREEPIO","found main computer power tractor beam holding ship make precise location monitor"
"494","THREEPIO","tractor beam coupled main reactor locations power loss terminals ship leave"
"495","OBI WAN","boys"
"496","HAN SOLO","bargained trip"
"497","LUKE",""
"498","OBI WAN","patient luke stay watch droids"
"499","LUKE",""
"500","OBI WAN","delivered safely star systems suffer fate alderaan destiny lies path mine force"
"501","HAN SOLO","boy chewie"
"502","HAN SOLO","dig fossil"
"503","LUKE","ben great man"
"504","HAN SOLO","yeah great trouble"
"505","LUKE","hear give ideas"
"506","HAN SOLO","hanging waiting pick"
"507","LUKE",""
"508","LUKE",""
"509","THREEPIO","afraid sir found repeating"
"510","LUKE","found"
"511","THREEPIO","princess leia"
"512","LUKE","princess"
"513","HAN SOLO","princess"
"514","THREEPIO","level detention block a-twenty afraid scheduled terminated"
"515","LUKE",""
"516","HAN SOLO","talking"
"517","LUKE","droid belongs message"
"518","HAN SOLO","funny ideas man wait"
"519","LUKE","find back detention block"
"520","HAN SOLO",""
"521","LUKE","execute minutes ago wait captured stay"
"522","HAN SOLO","marching detention area mind"
"523","LUKE","kill"
"524","HAN SOLO",""
"525","LUKE","rich"
"526","HAN SOLO","rich"
"527","LUKE","rich powerful listen rescue reward"
"528","HAN SOLO",""
"529","LUKE","wealth imagine"
"530","HAN SOLO","imagine bit"
"531","LUKE",""
"532","HAN SOLO",""
"533","LUKE",""
"534","HAN SOLO","kid"
"535","LUKE",""
"536","HAN SOLO","plan"
"537","LUKE","uh threepio hand binders"
"538","LUKE","put"
"539","LUKE","han put"
"540","HAN SOLO","worry chewie mind"
"541","THREEPIO","master luke sir pardon ah artoo discovered"
"542","LUKE","lock door"
"543","HAN SOLO","hope blasters"
"544","THREEPIO","reassuring"
"545","LUKE","thing helmet"
"546","HAN SOLO","work"
"547","LUKE",""
"548","HAN SOLO",""
"549","IMPERIAL OFFICER","taking thing"
"550","LUKE","prisoner transfer block one-one three-eight"
"551","IMPERIAL OFFICER","notified clear"
"552","HAN SOLO","loose"
"553","LUKE","pull"
"554","HAN SOLO",""
"555","HAN SOLO","find cell princess cell twenty-one-eight-seven hold"
"556","HAN SOLO","control situation normal"
"557","DEATH STAR INTERCOM","happened"
"558","HAN SOLO","uh slight weapons malfunction uh everything's perfectly fine fine"
"559","DEATH STAR INTERCOM","sending squad"
"560","HAN SOLO","uh uh negative reactor leak give minutes lock large leak dangerous"
"561","DEATH STAR INTERCOM","operating number"
"562","HAN SOLO","boring conversation luke company"
"563","LEIA","short stormtrooper"
"564","LUKE","uniform luke skywalker rescue"
"565","LEIA",""
"566","LUKE","rescue r2 unit ben kenobi"
"567","LEIA","ben kenobi"
"568","LUKE",""
"569","DARTH VADER",""
"570","TARKIN","obi-wan kenobi makes"
"571","DARTH VADER","tremor force time felt presence master"
"572","TARKIN","surely dead"
"573","DARTH VADER","underestimate power force"
"574","TARKIN","jedi extinct fire universe friend left religion"
"575","TARKIN",""
"576","DEATH STAR INTERCOM","governor tarkin emergency alert detention block a-twenty"
"577","TARKIN","princess put sections alert"
"578","DARTH VADER","obi-wan force"
"579","TARKIN","allowed escape"
"580","DARTH VADER","escape plan face"
"581","HAN SOLO","chewie"
"582","HAN SOLO",""
"583","HAN SOLO",""
"584","LEIA","managed cut escape route"
"585","HAN SOLO","back cell highness"
"586","LUKE","see-threepio see-threepio"
"587","THREEPIO","sir"
"588","LUKE","cut ways cell bay copy"
"589","THREEPIO","systems alerted presence sir main entrance"
"590","TROOPER","open"
"591","THREEPIO",""
"592","LUKE",""
"593","HAN SOLO","hold forever"
"594","LEIA","rescue plan"
"595","HAN SOLO","brains sweetheart"
"596","LUKE",""
"597","HAN SOLO","hell"
"598","LEIA","save skins garbage chute wise guy"
"599","HAN SOLO","big furry oaf care smell worry"
"600","HAN SOLO","wonderful girl kill beginning"
"601","HAN SOLO","garbage chute wonderful idea incredible smell discovered"
"602","LUKE","wait"
"603","LUKE","forget magnetically sealed"
"604","LEIA","put thing killed"
"605","HAN SOLO","absolutely worship control led long figure happened"
"606","LEIA","worse"
"607","HAN SOLO","worse"
"608","LUKE","alive"
"609","HAN SOLO","imagination"
"610","LUKE","moves past leg"
"611","HAN SOLO",""
"612","LUKE",""
"613","HAN SOLO","luke luke luke"
"614","LEIA","luke"
"615","LEIA","luke luke grab hold"
"616","LUKE","blast gun's jammed"
"617","HAN SOLO",""
"618","LUKE",""
"619","HAN SOLO","luke luke"
"620","LEIA","grab"
"621","LEIA","happened"
"622","LUKE","disappeared"
"623","HAN SOLO","bad feeling"
"624","LUKE","walls moving"
"625","LEIA","stand brace"
"626","LUKE","wait minute"
"627","LUKE","threepio threepio threepio"
"628","TROOPER",""
"629","THREEPIO","madmen heading prison level hurry catch"
"630","IMPERIAL OFFICER","follow stand guard"
"631","THREEPIO",""
"632","THREEPIO","excitement overrun circuits counterpart mind maintenance"
"633","TROOPER",""
"634","LUKE","threepio threepio threepio"
"635","HAN SOLO","top"
"636","LEIA",""
"637","LUKE","threepio threepio"
"638","THREEPIO","happened captured"
"639","THREEPIO","hurry"
"640","HAN SOLO","thing's lot thinner top"
"641","LEIA",""
"642","THREEPIO","goodness found"
"643","THREEPIO","comlink forgot turned"
"644","THREEPIO","sir"
"645","LUKE","threepio"
"646","THREEPIO","problems"
"647","LUKE","shut listen shut garbage mashers detention level copy"
"648","LUKE","shut garbage mashers detention level"
"649","LUKE","shut garbage mashers detention level"
"650","THREEPIO","shut hurry"
"651","THREEPIO","listen dying artoo curse metal body fast fault poor master"
"652","LUKE","threepio"
"653","LUKE","great"
"654","LUKE","hey hey open pressure maintenance hatch unit number"
"655","HAN SOLO","three-two-six-eight-two-seven"
"656","HAN SOLO","avoid female advice"
"657","LUKE","moving"
"658","HAN SOLO",""
"659","LEIA","wait hear"
"660","HAN SOLO","big coward"
"661","HAN SOLO","chewie"
"662","LEIA","listen"
"663","HAN SOLO","worshipfulness thing straight orders person"
"664","LEIA","alive big walking carpet"
"665","HAN SOLO","reward worth"
"666","IMPERIAL OFFICER","secure area alert canceled"
"667","TROOPER","give regular reports"
"668","TROOPER",""
"669","TROOPER","drill"
"670","TROOPER",""
"671","TROOPER","worry"
"672","HAN SOLO",""
"673","LUKE","see-threepio copy"
"674","THREEPIO","moment uh main hangar ship"
"675","LUKE","stand"
"676","LEIA","thing braver thought"
"677","HAN SOLO","nice"
"678","TROOPER","blast"
"679","HAN SOLO","back ship"
"680","LUKE","back"
"681","LEIA","courage"
"682","LUKE","good killed"
"683","LUKE","wrong turn"
"684","LEIA","lock"
"685","LUKE","oughta hold"
"686","LEIA","quick find control extends bridge"
"687","LUKE","blasted"
"688","LEIA","coming"
"689","LUKE","hold"
"690","LEIA",""
"691","LEIA","luck"
"692","THREEPIO",""
"693","TROOPER","close blast doors"
"694","TROOPER","open blast doors open blast doors"
"695","DARTH VADER","waiting obi-wan meet circle complete"
